"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","clade","Accession"
"EU086182",-7.90975235467153,0.830759598249214,-1.6575210397521,-0.0639460397951058,0.547713683561893,2.04674916772825,-1.26477773297263,0.836383627984115,-0.547516247616651,-0.457149419704959,0.167113751675453,0.270287769579459,0.733489552306813,0.740731676058617,-0.190778832043688,-0.467890775358845,-0.0547885335753978,-0.52653270937527,0.659066632184294,-0.156253347481915,0.100724142643932,-0.778988936358595,0.17483201103239,0.0379040748223657,-0.349769920822365,0.0294034934158834,0.026719117490037,-0.176595568101977,-0.0771926358329195,0.0386625022330974,-0.15296598998773,0.00344624012998161,0.171580156854025,-0.14177300281818,0.189444133409581,-0.0670894462675724,-0.30538018501485,-0.136247474762879,0.248143268806777,0.166363715945606,-0.000597111811600307,-0.00145157296225235,0.000905397363648521,-0.00062565906522382,0.00019969674020593,-0.00075921227790317,-0.000202121718467296,8.49431296091525e-05,1.88946457373144e-14,-1.01803078308453e-15,6.64859597843892e-17,1.8686390411467e-16,-3.82660146318098e-18,-6.1526734714041e-16,5.12759424305895e-17,1.48553561905141e-16,-4.60488509737523e-16,"Asian SEA2a","EU086182"
"EU086183",-7.91578333355178,0.707464269623155,-1.96860264312256,-0.730829013655862,0.618257613718841,1.64057335700857,-1.5416776510675,0.18872910783993,-1.59111412656349,-0.365630446892621,1.32314022192465,-0.121140552914276,-0.117333733430951,1.00373601792655,-0.0392464640241782,1.01177112603825,-0.604301390573838,-0.828610892234074,0.403158070734288,-0.570534528209215,-0.454815827273962,-0.621299846069608,0.189834882271213,-0.690457635279997,0.236911172088129,0.654343509910273,-0.238071706411207,0.306873226355043,0.440177428947846,-0.441495019401359,-0.132220848906002,-0.160546858331182,0.123422657890722,-0.255955205832097,-0.0573680003736876,-0.515579838689055,0.257262825536439,-0.276333702711707,0.31576665326162,-0.00882974666945194,-0.000110916778015105,0.00375537119268638,0.00118362324253596,0.0010317358122089,-0.000899403285126534,-0.00113342445205472,-0.000224294137960889,3.34844072272891e-05,1.91722014934707e-14,-1.01803078308453e-15,-1.55558645140642e-16,-3.68247608197908e-16,7.73329515774429e-16,-3.93222742215379e-16,5.12759424305895e-17,-2.95535647944922e-16,-2.38443904812492e-16,"Asian SEA2a","EU086183"
"EU159386",-7.90975235467153,0.830759598249214,-1.6575210397521,-0.0639460397951058,0.547713683561893,2.04674916772825,-1.26477773297263,0.836383627984115,-0.547516247616651,-0.457149419704959,0.167113751675453,0.270287769579459,0.733489552306813,0.740731676058617,-0.190778832043688,-0.467890775358845,-0.0547885335753978,-0.52653270937527,0.659066632184294,-0.156253347481915,0.100724142643932,-0.778988936358595,0.17483201103239,0.0379040748223657,-0.349769920822365,0.0294034934158834,0.026719117490037,-0.176595568101977,-0.0771926358329195,0.0386625022330974,-0.15296598998773,0.00344624012998161,0.171580156854025,-0.14177300281818,0.189444133409581,-0.0670894462675724,-0.30538018501485,-0.136247474762879,0.248143268806777,0.166363715945606,-0.000597111811600307,-0.00145157296225235,0.000905397363648521,-0.00062565906522382,0.00019969674020593,-0.00075921227790317,-0.000202121718467296,8.49431296091525e-05,1.88946457373144e-14,-1.01803078308453e-15,6.64859597843892e-17,1.8686390411467e-16,-3.82660146318098e-18,-6.1526734714041e-16,5.12759424305895e-17,1.48553561905141e-16,-4.60488509737523e-16,"Asian SEA2a","EU159386"
"EU828653",-7.0184409133967,0.800049074587246,-1.65816813937797,-0.113783957619332,-0.368896473514343,1.5695122494858,-0.0742635610927477,-1.33023231631495,-1.22987420735173,-0.756062521719038,-0.536630249038076,0.428746311607667,0.52813098607981,0.558192411204948,-0.368543118138703,-0.985569958621908,-0.653933090916949,0.776651925297606,0.0710254276552253,-0.224021173241428,0.188412398272219,-0.15949161961556,-0.94252116237379,-0.0707303487262547,-0.367648084384958,0.257298034961287,-0.567366038560504,-0.426075648595039,0.153236025282574,0.210459262334851,0.778622928894949,0.0423178021246068,-0.0190560517313092,-0.100491162358243,-0.223205147789116,0.491424344333635,0.286674184803426,0.153630139685637,-0.265833428905851,0.0730883014529808,-0.00416501795001135,-0.000556714043044288,-0.000313073977239921,1.20421732298655e-05,-0.000285373679922826,0.000434513300952174,8.22433144345392e-05,0.000324321605134372,1.8938734499727e-14,-2.43283928601888e-16,-8.11959982505119e-17,3.71511450534512e-16,-2.35399895099448e-16,-5.87919139545993e-16,2.36500091780825e-16,-1.40154656058145e-16,-5.05573761305377e-16,"Asian SEA2a","EU828653"
"FJ561726",-7.38837089271776,0.0833035945350952,-0.947605392367115,-0.226719958461633,0.671339886283368,1.86531691699728,0.494675675349159,-1.68431211207305,-1.27879845835261,0.071486921838933,-1.28666562264258,0.364707646532867,0.145986621169864,0.405299017323512,-0.627437741532731,-0.860655293257974,-0.377337951606296,0.457351856089866,-0.437737291508458,-0.675228936770251,-0.550723533569218,-0.0182172151124867,-0.316886223732781,-0.371241081249518,0.0166251159228741,0.31522361653034,-0.227888461984946,-0.201277977382655,0.0783547825232781,-0.164407385675739,0.1928082760823,0.18707994432458,0.0312778532648699,-0.0726256436000885,0.280324387273277,0.103811387567536,0.249625147017366,0.142916672320735,-0.171686436924939,-0.240974992791991,0.000893624383214543,0.000889345767206176,0.00140492848975149,-0.00036812330396177,6.21865270280857e-05,-0.00108561636501974,-0.000247000093328263,0.000359143865196077,1.9382823709577e-14,-1.0204400458395e-15,-3.03240603175543e-16,2.04977996840738e-16,4.58489495291276e-16,-1.99341080927189e-16,1.2547778931831e-16,-5.28732714676949e-16,-6.14845514553142e-17,"Asian SEA2a","FJ561726"
"FJ561727",-6.91181951452993,-0.147741247088133,-1.03755894342432,0.386195796072769,-0.172765181935751,1.8719210915688,0.6501268501384,-1.21678118859616,-1.59876268252357,0.114154806986093,-1.35799821142676,0.698464751673578,-0.0508804508129341,0.806035616470451,-1.04538430223401,-0.205309097179793,-0.219061917533691,0.968666678729391,-0.473056529075037,0.0189024280433598,0.426764265276954,-0.0907972745776273,-0.12226606391298,0.0246552487308383,0.0259376880733074,0.729539235381573,-0.160404871331021,-0.0831381703809376,-0.0245048393085243,0.476567348461326,0.19023482484282,0.236277079617585,-0.15405471073336,0.121802168927793,0.148168707628279,-0.608375935346074,0.623221292360274,-0.0626604454122105,0.106041204140387,0.655167029381399,-0.000232618724087367,-0.00044834309243857,0.00035807273470942,0.000766513588748768,0.000442722657023391,-0.000911379438257987,-0.000212381343672821,-0.00130984601313258,1.88851551997136e-14,-2.81806573678654e-16,-6.11691524151211e-16,6.50670848469098e-16,6.81648352619245e-16,-2.09617284517632e-16,-1.41198743830226e-16,-5.76826221693041e-16,-2.60533664741723e-16,"Asian SEA2a","FJ561727"
"FJ561728",-7.10565459333096,-0.0422955845616655,-0.303597315613215,0.667640650648511,0.478446114314511,1.54913610666357,0.363247234181701,-2.32915134225922,-1.81207220244249,-0.152816269912254,-1.98175360386913,1.21264903255717,-0.239899342119495,0.570278332429617,-0.829985399594656,-0.179544996242241,-1.05587913253499,0.744729662069052,-1.13026427764681,-0.170834720105785,0.763952826290216,-0.0181782878709456,0.0929654145189597,0.425263828961337,-0.322928520125647,0.378087765993467,0.17783278640752,0.39735608631838,0.207476037383688,0.00494209365739256,0.336301825583106,0.446036726469658,0.198217193015083,-0.263097597609177,0.29290575267082,0.200443243044373,-0.0275925060320848,0.319800730558402,-0.0609648114756339,-0.0515525678216069,-0.00381761150500979,-0.000372572426137355,-0.0013237776249836,0.00110571234004439,0.000589207059457748,-0.000606857210397417,0.000404418251389136,0.000442217228222982,1.85307821928948e-14,-8.8819258293987e-16,-3.54540288094525e-16,1.82662021057697e-16,1.49464427093405e-16,-1.23169006431e-16,-1.43309178439564e-16,-2.79181237408245e-17,-4.42215650140234e-16,"Asian SEA2a","FJ561728"
"FJ866829",-7.37057312096926,-0.267880063266291,-0.363821233131354,0.0476815303634618,0.329688526565169,1.81849986332965,0.404610596136081,-2.3700974787331,-1.7202418173145,0.393888934779182,-1.80704012540551,1.3267314212222,0.0321635213857787,0.780101496191817,-0.220951395444638,-0.649585948042053,-1.22556237819119,0.216020820704232,-1.12358865142822,-0.965875175477554,0.568970622355561,0.245205320926899,0.272476666793957,0.236572369075493,-0.030557435788177,0.599363099227177,0.02104736185792,0.127808533979727,0.244435641667255,-0.135606575822721,0.134545449387932,0.628452395871217,0.117544507925886,-0.454684691065202,-0.172113824714644,0.112568185543712,0.0189831805025894,0.209198603077405,-0.238725651745564,-0.104532449707529,0.00824305188949247,-0.00137064309962975,0.000438312503169554,-0.00128569284305536,-0.000428085124335014,0.00116863907779067,0.000792289677258348,-0.00102432338895676,1.87528267978198e-14,-3.33081070627292e-16,-2.14733807069776e-17,5.15728928445244e-16,5.3804248571221e-16,-1.21467039684843e-17,-3.22868759770485e-17,-5.83029636053403e-16,1.12895862172344e-16,"Asian SEA2a","FJ866829"
"FJ866830",-7.41899225760937,-0.616407168377632,0.00961433489984981,0.162113781342652,0.995670012672826,1.96409162983322,0.565414925730197,-1.94700909289663,-1.37475859484771,0.400839368226151,-1.9351226019514,1.13934074305049,-0.0654267304632498,0.767977281878151,-0.373408103274079,-1.14694604217701,-0.347577354019255,0.634237247780384,-0.404951583361766,-1.25252556784474,-0.0291865173599737,0.97084315123719,0.189371180078524,-0.308107684847292,-0.180263722998579,0.831953579297693,-0.148816602378807,-0.152039161187128,0.0918813449326529,0.238621889834593,0.138566184609915,0.482653301620764,-0.0634824899154762,-0.0617141446982619,0.0828449374677553,-0.692566802538471,0.454569611639647,-0.0828096771983384,-0.238201437093023,0.44964706987178,0.00702215282473215,7.78501083188735e-05,0.00196789602107041,-0.0013922397106265,-0.00160483268581096,-5.9094020451391e-05,-0.00151901091258821,-0.00109855729682921,1.87226250786044e-14,-3.52110680847687e-16,-5.32872365111369e-16,3.73526108633666e-16,9.33844060410005e-16,-3.65856981956021e-17,-1.61685507849744e-16,-6.9776642313739e-16,1.40393804598501e-16,"Asian SEA2a","FJ866830"
"FJ866831",-7.68921436693404,0.0362477662459608,-0.446008524886578,-0.575622205905527,1.23326260173933,1.59000615240151,0.628427953167757,-1.81637052074022,-1.13184041274281,0.0651214577779991,-1.60167910878497,0.844455483846591,0.192502588199292,0.479959492284547,0.0146090076669178,-1.24667267564843,-0.822458528358134,-0.211779393994139,-1.0205194163257,-1.39644762055431,-0.323090688422549,0.366105630957392,-0.44755232328777,-0.0616253127757308,0.158684232953464,0.715573723229859,-0.196328399997379,0.208631399274794,0.215568733422101,-0.225141399164998,-0.169691722944974,0.228547560456542,0.134884469333374,-0.338151418519314,0.227441014500572,0.0355344194488538,0.199954034059829,0.291013984472715,-0.161370641172159,-0.208384407975325,-0.00368243184369883,0.00127996021861405,0.000691326373864457,0.000134440482051079,-0.000142315152719463,0.000553842968031588,2.84837452745767e-06,0.00026178191269617,1.84274611123313e-14,4.67620266956423e-16,-2.57446165977747e-16,3.96813542722569e-16,-8.18891435880811e-18,-5.17893630518269e-16,-3.55570186908611e-16,-1.02449381681143e-16,-8.04278816314035e-16,"Asian SEA2a","FJ866831"
