"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","clade","Accession"
"EU086182",-7.84613021927523,-0.920837624456044,-1.77689624335133,0.120264297608218,0.414190021595869,-1.96793329930875,1.26605297594259,-1.01125383571433,0.455001546036081,0.597531342052746,-0.0790614585886255,-0.0726085060872172,-0.621499439309853,-0.516310270302168,-0.160772641623842,0.274150179481324,-0.562053425778073,-0.266083124807652,-0.257016431799889,0.629968139531752,-0.838406987705152,-0.251591481372841,-0.543622627752808,0.121160740451404,-0.200257766124455,-0.351825851507117,-0.0260322200463119,0.0356661572301241,0.121029039021504,0.138957001876405,0.0102488592649314,0.177192635736965,-0.006015570001141,0.0792171210939159,-0.159004316222802,0.144225404100237,0.135787942519446,-0.141840245040183,0.20842078176016,-0.366768781343828,-0.202516157472445,1.77192546474447e-14,6.01408471508025e-15,2.12743845291169e-15,2.87875865621053e-15,1.13795903963319e-15,-2.34135211685044e-15,3.57767482521027e-16,1.81255666683749e-16,-6.88462634991119e-16,-1.89262332357366e-15,-2.05763981883e-15,2.63634036353422e-15,3.39981858819076e-16,-5.45351198446796e-16,1.11522202990063e-15,7.89800649409493e-16,1.36759757330733e-16,1.2263581078451e-15,"Asian SEA2a","EU086182"
"EU086183",-7.87199099181995,-0.765766475349352,-1.98641836544054,-0.599347183485396,0.553169193105007,-1.62285420275999,1.45649676166609,-0.349567300258079,1.28597380415141,1.23038685801156,-0.979325553682924,0.771303199569292,0.213281452741297,-0.802459377917278,1.0826532345174,-0.214427650788555,0.34819921908544,-0.46641963065675,-0.622420143993611,0.329502586433225,-0.931454321821282,0.384157875877481,-0.559972829494234,0.776161106582652,-0.26245948024427,0.412255594758756,-0.608291057632639,0.002783838310484,-0.362993105880135,-0.0495448998089623,-0.681677312934466,0.158676109734589,0.114511083674141,0.061257505801527,0.0578125034795098,0.542204796747968,-0.313100267087342,-0.233003238372499,0.450858071499876,-0.098445324915591,0.0942814162011581,1.68865873789758e-14,3.97404990733152e-15,1.98425947625481e-16,1.44934651200564e-15,2.58124897164589e-15,-2.5968394567827e-16,-2.77141309686484e-16,-6.2365602616949e-16,-1.60439663030687e-15,-8.93422601411022e-16,-2.81282979429753e-16,2.35878460737793e-15,1.60286054933019e-15,-4.34328895984281e-16,7.82155122513087e-16,1.23388985925956e-15,-8.5284847594298e-17,7.82268897995038e-16,"Asian SEA2a","EU086183"
"EU159386",-7.84613021927523,-0.920837624456044,-1.77689624335133,0.120264297608218,0.414190021595869,-1.96793329930875,1.26605297594259,-1.01125383571433,0.455001546036081,0.597531342052746,-0.0790614585886255,-0.0726085060872172,-0.621499439309853,-0.516310270302168,-0.160772641623842,0.274150179481324,-0.562053425778073,-0.266083124807652,-0.257016431799889,0.629968139531752,-0.838406987705152,-0.251591481372841,-0.543622627752808,0.121160740451404,-0.200257766124455,-0.351825851507117,-0.0260322200463119,0.0356661572301241,0.121029039021504,0.138957001876405,0.0102488592649314,0.177192635736965,-0.006015570001141,0.0792171210939159,-0.159004316222802,0.144225404100237,0.135787942519446,-0.141840245040183,0.20842078176016,-0.366768781343828,-0.202516157472445,1.77192546474447e-14,6.01408471508025e-15,2.12743845291169e-15,2.87875865621053e-15,1.13795903963319e-15,-2.34135211685044e-15,3.57767482521027e-16,1.81255666683749e-16,-6.88462634991119e-16,-1.89262332357366e-15,-2.05763981883e-15,2.63634036353422e-15,3.39981858819076e-16,-5.45351198446796e-16,1.11522202990063e-15,7.89800649409493e-16,1.36759757330733e-16,1.2263581078451e-15,"Asian SEA2a","EU159386"
"EU828653",-6.97334173429402,-0.87646223520637,-1.70338033094577,0.0665844196170523,-0.42870080003479,-1.59810091042679,0.215510917548743,1.19825433963781,0.589989564601887,1.37884369020894,0.380509421631281,-0.659475824399641,-0.44484418039386,-0.47538735612817,-0.645776151459986,0.338329224179028,-0.428235483469062,-0.933289768107885,0.68600697096127,-0.182792556273748,0.103154692650069,0.141599661601546,-0.832478631298515,-0.496220945115106,0.435266930375116,-0.33737349130139,-0.779916924305771,-0.20404311254919,0.42155716142728,0.227987442224991,0.100348215524316,-0.677671953624287,0.0657459014189934,0.228368059090785,0.269990456745967,0.0758276067021786,-0.29586538828636,0.404531570203687,-0.354033660131154,0.121318130746829,-0.208672326110804,1.42479192173848e-14,4.84997887683464e-16,-2.90630695500558e-15,4.88610469360037e-15,2.11447793980405e-15,-3.45909318531684e-16,-1.71311395701223e-15,3.74528155795357e-16,1.0784375222505e-15,-1.92863866760759e-15,-2.06590192866824e-15,2.33093414907517e-15,-1.87679886396078e-15,-6.7194730579073e-16,5.86084906366639e-16,1.34533299544864e-15,-1.26995337486299e-16,6.07574000564528e-16,"Asian SEA2a","EU828653"
"FJ561726",-7.34430820608544,-0.336917950614501,-1.12274083289399,0.263781582806806,0.565575810513369,-1.85675194070519,-0.207025415247217,1.61315327729647,0.729463597828688,1.04574229152722,0.544797003795228,-1.33842843221988,-0.17183150033579,-0.781926160998786,-1.03014385639368,-0.183302551106139,0.281734915842781,-0.316225945047283,0.50418783916185,-0.802073017190022,-0.0346632741625301,0.796944192231076,-0.221859709085248,0.266623199844445,-0.167901707582123,0.0675952839674018,-0.181312227273411,-0.157614351117625,0.129905117442685,-0.0508432211153779,-0.07772367586729,-0.300989485425351,-0.185344489742174,-0.187041890632805,-0.145707973256147,0.171578231456089,-0.026582903952836,0.123698132299684,-0.202358676870744,0.14686892766789,0.229234221602036,1.385064883406e-14,6.00216124911588e-16,3.40832305582246e-16,3.79084335952174e-15,2.46090096778309e-15,-5.52032931867197e-16,-1.79887866876509e-15,4.80400095294213e-16,-5.37987569522933e-16,-2.05361808550753e-15,-3.77237318114229e-16,3.0721489043067e-15,-1.55856094978302e-15,-5.33773543623833e-16,6.62403068718371e-16,1.59280496285739e-15,6.09032062083002e-16,5.40165993462269e-16,"Asian SEA2a","FJ561726"
"FJ561727",-6.92784860336846,-0.0809817166664586,-1.25073536583639,0.885347667128845,-0.340078387848775,-1.69830955011649,-0.374173489932437,1.10277987683012,1.04430438648099,1.22493596008568,0.595954150221302,-1.61346463110126,0.0447941736901889,-1.06527205122011,-0.277441286684398,-0.57562747274094,0.00083986342033793,-0.378392482420973,0.738918617967144,-0.749662667700594,0.693341575588892,-0.238839253751462,-0.179587279335533,0.0892604685335457,-0.490805146908983,-0.0302594229040132,-0.438834690577468,-0.0484817716881804,0.051285463577929,-0.229505773438839,0.456017605526697,-0.280802369624334,-0.0343550211975315,-0.297831014571395,-0.100589220015118,0.233579671660357,-0.712793515939267,-0.245970999266129,0.29154521993593,0.124640206944767,-0.146378730390175,1.34170978365043e-14,1.38975241516903e-15,7.41060939534114e-16,3.87689781335981e-15,4.0382530948709e-15,-4.76110277875159e-16,-1.65647892807559e-15,5.93832969653637e-16,-1.29918047471643e-15,-1.70978199202482e-15,-1.40249760130114e-15,3.32659272421005e-15,-1.57801355353976e-15,-5.21413739357284e-16,7.02043030703872e-16,1.68468367670317e-15,2.12099597281756e-16,3.40253858758658e-16,"Asian SEA2a","FJ561727"
"FJ561728",-7.02640527469714,-0.488333711244826,-0.597919682071751,1.39254312962017,0.367051084004556,-1.34268619065145,0.0812096467423091,2.20392190080333,0.877543479051471,1.69140741605705,0.772317556542341,-2.40389921275295,0.243433513613829,-0.875085862301448,-0.300346937408533,-0.507057435395532,0.606397838596541,-1.02488866342713,0.398039510010021,-1.37683781569648,0.582331145816719,-0.72570543534697,0.201992247404904,-0.210323051153015,-0.650915344402824,-0.3288793437353,0.0461424716758465,0.111085497756641,-0.276940761572423,-0.562316414342136,0.168674429499211,-0.512597498898485,-0.364518965469269,0.0634981323480593,-0.238151541078669,0.173799415215029,0.11420524192477,0.0278934073643547,-0.343929966463436,-0.0360874920067835,0.0868702054519369,1.3816040735058e-14,2.68055687152042e-15,1.83268076219242e-15,3.78262697274276e-15,3.77630060757683e-15,-1.13439628095866e-15,-1.46551730042489e-15,3.12781171222485e-16,-2.36673589824944e-15,-2.97187821008208e-15,-1.43222271101088e-15,3.02557387319739e-15,-1.30564483283857e-15,-7.31674953391366e-16,6.80806889371933e-16,1.70891314308855e-15,1.86091034095803e-16,3.0737649172376e-16,"Asian SEA2a","FJ561728"
"FJ866829",-7.30843404022597,-0.268807460928263,-0.626994187088312,0.903736074732456,0.160281663687497,-1.63962455323642,0.16483002426716,2.23876220035661,0.934870038834727,1.33107667554553,0.300783388369745,-2.58255671628958,0.00346023800802297,-1.12243059173634,-0.681076820102803,0.0556467050001008,1.21931057744343,-0.91885846637849,0.252490161936566,-1.47098214404416,0.0846285814242668,-0.494702116059877,0.369708745172381,0.114948712453331,-0.55201191324964,-0.0211004789454425,-0.158617026794473,0.0988834649862914,-0.138665295558979,-0.384732187427001,-0.00876002745221637,-0.250869427871084,-0.490223204738923,0.188434171267723,0.198641477632113,0.266551542441861,0.0293666432004719,0.0723600243389212,-0.314315686122788,0.208443579429817,-0.0289413881489576,1.3593996130133e-14,1.66747836154996e-15,-1.79598469940675e-16,3.69936024589588e-15,3.27670024649551e-15,6.41960558441591e-16,-1.18622682079263e-15,-3.41635239728765e-17,-2.36673589824944e-15,-2.77758918077267e-15,-5.44044291310757e-16,2.35944005842229e-15,-1.30564483283857e-15,-7.31674953391366e-16,7.3631804060319e-16,1.69156590832879e-15,4.08135639020834e-16,5.29421096648791e-16,"Asian SEA2a","FJ866829"
"FJ866830",-7.46044882766438,0.36832412199293,-0.200572075574911,0.936534961285014,0.835045048292306,-1.88410979462169,-0.124666176724358,1.77568924782968,0.852784267078307,0.953028622282436,0.675587372034758,-2.31844983209008,0.112463999749092,-1.18522891378834,-1.12661222207541,0.0887211421117959,0.71928358089274,-0.185668034304537,0.977144990699857,-0.9365175034939,-0.054673060572761,0.330021850345134,0.622388903906391,0.465031191400026,0.0699737345367804,-0.170865517714575,-0.827097089975208,0.303878226296624,0.0449294401303317,-0.216609212230969,0.199912177187315,-0.11598525630243,-0.404779053050732,-0.227059200672029,0.0990964438218219,0.369266238552864,-0.378930645804065,-0.18540157914759,0.23725854193197,0.307980250734065,-0.196347172326051,1.32083674670795e-14,-2.31583781819291e-16,1.34350247469684e-15,2.45857572997155e-15,3.01601248009567e-15,4.47167790295444e-16,-1.29125521160738e-15,3.22540258980324e-16,-1.78351902527428e-15,-2.21841681572533e-15,1.3971027772686e-16,2.59336522493711e-15,-1.26712740581892e-15,-5.15125266257082e-16,7.10107964307734e-16,1.72464394703163e-15,5.47883059554819e-16,5.29974493040905e-16,"Asian SEA2a","FJ866830"
"FJ866831",-7.65279012295961,-0.317246136754125,-0.661321071392717,0.00385733173049177,1.17543124992016,-1.60618328463473,-0.34267429359065,1.7102715550528,0.527134115987631,1.11049352055917,0.514949761164111,-1.97795757938665,-0.106963411901333,-0.781510081743338,-1.25304727427267,0.385838775356054,0.841973404794103,-0.388993799409041,-0.0827078577799614,-1.38659616101967,-0.441651081353825,0.52713097737486,-0.0211489401623024,-0.0645062113233233,-0.119960294241806,0.304768532472815,-0.710988934121188,0.13418134875754,-0.2929626073274,-0.246001097730287,-0.184505045008585,0.111761311332639,-0.28643513093454,-0.0936326370514709,-0.091648074480889,0.40584254934362,-0.0175115967025237,0.051127695111164,-0.349501332178199,0.0533732293129088,0.176114844816422,1.2013793513435e-14,7.89317203805571e-17,-1.64195662745924e-15,3.48553202774982e-15,1.794767153008e-15,5.85897316766391e-17,-9.77920783759070e-16,-7.35641061365529e-16,-2.29526245068744e-15,-2.39188916332301e-15,6.79209278755647e-16,2.75989867863088e-15,-1.07283837650952e-15,-4.48338412431975e-16,6.37357998533956e-16,1.67260224275232e-15,4.19513522332536e-16,4.96906326780097e-16,"Asian SEA2a","FJ866831"
