"","Accession","Hamming","Miyata"
"221","KR906760","6.60222222222222","11.3032"
"222","KR906762","6.60444444444444","11.2969777777778"
"223","KR906763","6.60888888888889","11.2965111111111"
"224","KR906765","6.60666666666667","11.2996888888889"
"225","KR906766","6.60666666666667","11.2984"
"226","KR906767","6.60444444444444","11.3014"
"227","KR906768","6.60666666666667","11.3096888888889"
"228","KR906770","6.60444444444444","11.2814888888889"
"229","KR906771","6.60444444444444","11.3011555555556"
"230","KR906772","6.60222222222222","11.3032"
"231","KR906773","6.60444444444444","11.3011555555556"
"232","KR906774","6.60444444444444","11.2888888888889"
"233","KR906776","6.60444444444444","11.2814888888889"
"234","KR906780","6.60444444444444","11.3011555555556"
"235","KR906782","6.60444444444444","11.3011555555556"
"236","KR906784","6.60444444444444","11.2814888888889"
"237","KR906789","6.60444444444444","11.2814888888889"
"238","KR906790","6.60222222222222","11.3169111111111"
"239","KR906792","6.60222222222222","11.3055777777778"
"240","KT336432","6.6","11.2789777777778"
"241","KT336433","6.59111111111111","11.2615777777778"
"242","KT336434","6.59111111111111","11.2681777777778"
"243","KT336435","6.58666666666667","11.2350444444444"
"244","KT336436","6.59555555555556","11.2659111111111"
"245","KT336437","6.58222222222222","11.2167333333333"
"246","KX148203","6.59111111111111","11.2682"
"247","KX148204","6.59777777777778","11.2967777777778"
"248","KX148205","6.60444444444444","11.3124444444444"
"249","KX148206","6.60444444444444","11.2911333333333"
"250","KX148208","6.60666666666667","11.2835333333333"
"251","KY210222","6.61111111111111","11.3160444444444"
"252","KY210223","6.60444444444444","11.2888888888889"
"253","KY210224","6.60444444444444","11.3011555555556"
"254","KY210226","6.60444444444444","11.3011555555556"
"255","KY210227","6.60444444444444","11.2814888888889"
"256","KY210229","6.60444444444444","11.3011555555556"
"257","KY210231","6.60444444444444","11.3011555555556"
"258","KY210232","6.60444444444444","11.3011555555556"
"259","KY210234","6.60444444444444","11.3011555555556"
"260","KY210235","6.60444444444444","11.3011555555556"
"261","KY210238","6.60444444444444","11.3011555555556"
"262","KY210239","6.60444444444444","11.3011555555556"
"263","KY210243","6.60666666666667","11.3056"
"264","KY210244","6.60444444444444","11.3011555555556"
"265","KY210245","6.60222222222222","11.3169111111111"
"266","KY210247","6.60666666666667","11.3108888888889"
"267","KY210248","6.60444444444444","11.3011555555556"
"268","KY210249","6.60444444444444","11.3011555555556"
"269","KY210250","6.60444444444444","11.3011555555556"
"270","KY210251","6.60444444444444","11.3011555555556"
"271","KY210252","6.60222222222222","11.3169111111111"
"272","KY210253","6.60222222222222","11.2668444444444"
"273","KY210254","6.60222222222222","11.2668444444444"
"274","KY210255","6.60222222222222","11.2668444444444"
"275","KY210256","6.60222222222222","11.2668444444444"
"276","KY210257","6.60444444444444","11.2814888888889"
"277","KY210258","6.60444444444444","11.3011555555556"
"278","KY210260","6.60444444444444","11.3011555555556"
"279","KY210263","6.60444444444444","11.3124888888889"
"280","KY210264","6.60444444444444","11.2809777777778"
"281","KY210265","6.60444444444444","11.3011555555556"
"282","KY210266","6.60222222222222","11.2668444444444"
"283","KY210267","6.60444444444444","11.3032666666667"
"284","KY210269","6.60444444444444","11.2814888888889"
"285","KY210270","6.60444444444444","11.2814888888889"
"286","KY210271","6.60444444444444","11.3011555555556"
"287","KY210272","6.60444444444444","11.3011555555556"
"288","KY210273","6.60444444444444","11.3011555555556"
"289","KY210278","6.60444444444444","11.3011555555556"
"290","KY210279","6.60222222222222","11.2806666666667"
"291","KY210280","6.60444444444444","11.2888888888889"
"292","KY210281","6.60444444444444","11.2888888888889"
"293","KY210282","6.60444444444444","11.2888888888889"
"294","KY210286","6.60444444444444","11.3011555555556"
"295","KY210287","6.60444444444444","11.3011555555556"
"296","KY210288","6.60444444444444","11.3011555555556"
"297","KY210289","6.60444444444444","11.3011555555556"
"298","KY210290","6.60444444444444","11.3011555555556"
"299","KY210292","6.60444444444444","11.3011555555556"
"300","KY210293","6.60444444444444","11.3011555555556"
"301","KY210294","6.60444444444444","11.2814888888889"
"302","KY210295","6.60444444444444","11.3011555555556"
"303","KY210296","6.60444444444444","11.3011555555556"
"304","KY210299","6.60444444444444","11.3011555555556"
"305","KY210300","6.60444444444444","11.3011555555556"
"306","KY210303","6.60444444444444","11.3011555555556"
"307","KY210304","6.60444444444444","11.2814888888889"
"308","KY210307","6.60444444444444","11.3011555555556"
"309","KY210311","6.60444444444444","11.3124888888889"
"310","KY563717","6.58666666666667","11.2549777777778"
"311","LC029890","6.60444444444444","11.2891555555556"
"312","MN726804","6.60666666666667","11.2974888888889"
"313","MN726826","6.60444444444444","11.2894222222222"
"314","MN726827","6.60444444444444","11.2853333333333"
"315","MT454631","6.6","11.2789777777778"
"316","MT454634","6.6","11.2789777777778"
"317","MT454635","6.6","11.2784666666667"
"318","MT454636","6.6","11.2789777777778"
"319","MT454637","6.6","11.2789777777778"
"320","MT454639","6.6","11.2789777777778"
"321","MT454641","6.6","11.2789777777778"
"322","MT454643","6.6","11.2828222222222"
"323","MT454644","6.59333333333333","11.2605777777778"
"324","MT454645","6.6","11.2828222222222"
"325","AF351828","6.61333333333333","11.2543555555556"
"326","AF351831","6.61333333333333","11.2875333333333"
"327","AF351832","6.61777777777778","11.2555777777778"
"328","AF351833","6.61111111111111","11.2680444444444"
"329","AF351855","6.61333333333333","11.256"
"330","AF351861","6.61555555555556","11.2477333333333"
"331","AF351862","6.61111111111111","11.2556666666667"
"332","AY039227","6.62","11.2933555555556"
"333","AY039228","6.61111111111111","11.2684"
"334","AY039229","6.61333333333333","11.2646444444444"
"335","GU644652","6.61555555555556","11.2731111111111"
"336","GU644654","6.61111111111111","11.2714888888889"
"337","GU644655","6.61111111111111","11.2684"
"338","GU644656","6.61111111111111","11.2684"
"339","GU644657","6.60888888888889","11.2532666666667"
"340","GU644658","6.60888888888889","11.2532666666667"
"341","GU644659","6.61555555555556","11.2643555555556"
"342","GU644660","6.61555555555556","11.2683333333333"
"343","GU644661","6.61555555555556","11.2594666666667"
"344","GU644662","6.61555555555556","11.2683333333333"
"345","GU644663","6.61555555555556","11.2896222222222"
"346","GU644664","6.62","11.2802222222222"
"347","GU644665","6.61777777777778","11.2676222222222"
"348","GU644666","6.61777777777778","11.2739333333333"
"349","GU644667","6.61333333333333","11.2601777777778"
"350","GU644668","6.61555555555556","11.2600666666667"
"351","GU644669","6.61333333333333","11.2569333333333"
"352","GU644670","6.61111111111111","11.2512222222222"
"353","GU644671","6.61111111111111","11.2547555555556"
"354","GU644676","6.60888888888889","11.2472"
"355","GU644677","6.61333333333333","11.2609333333333"
"356","GU644684","6.61333333333333","11.2689555555556"
"357","GU644689","6.61333333333333","11.2639777777778"
"358","GU644690","6.61333333333333","11.2639777777778"
"359","GU644695","6.61333333333333","11.2639777777778"
"360","JQ685925","6.61333333333333","11.2639777777778"
"361","AY352487","6.59555555555556","11.3089111111111"
"362","EF611828","6.59555555555556","11.3068"
"363","EF611830","6.59777777777778","11.3248222222222"
"364","EF611851","6.59555555555556","11.2923111111111"
"365","L20675","6.6","11.3221111111111"
"366","AF351845","6.62444444444444","11.2625111111111"
"367","AF351846","6.62","11.2777333333333"
"368","AF351858","6.61777777777778","11.2724"
"369","AF394883","6.62444444444444","11.2688"
"370","AF394884","6.62888888888889","11.2766888888889"
"371","GU644712","6.62888888888889","11.2762222222222"
"372","GU644713","6.62888888888889","11.2785777777778"
"373","GU644714","6.62888888888889","11.2767333333333"
"374","GU644715","6.62888888888889","11.2762222222222"
"375","GU644716","6.62888888888889","11.2751333333333"
"376","GU644717","6.63111111111111","11.2718"
"377","GU644718","6.62888888888889","11.2679555555556"
"378","GU644719","6.62888888888889","11.2766888888889"
"379","GU644720","6.62888888888889","11.2766888888889"
"380","GU644721","6.62666666666667","11.2704222222222"
"381","JQ685947","6.62888888888889","11.2762222222222"
"382","AF351834","6.63777777777778","11.3178666666667"
"383","AF351840","6.63777777777778","11.3327333333333"
"384","AF351842","6.64222222222222","11.3742"
"385","AF394880","6.63777777777778","11.3248222222222"
"386","JQ685895","6.64222222222222","11.3348666666667"
"387","AY854505","6.58666666666667","11.2411555555556"
"388","AY854525","6.58666666666667","11.2391111111111"
"389","AY854531","6.58","11.2495333333333"
"390","AY854544","6.58","11.2306444444444"
"391","AY854546","6.58","11.2308444444444"
"392","AY854558","6.59333333333333","11.2872222222222"
"393","AY854567","6.58444444444444","11.2489777777778"
"394","AY854573","6.58888888888889","11.2533555555555"
"395","AY854576","6.57555555555556","11.2157555555556"
"396","EU345002","6.61777777777778","11.3092666666667"
"397","EU345003","6.63333333333333","11.3005555555556"
"398","EU345004","6.62","11.2915777777778"
"399","JQ685938","6.63777777777778","11.2903333333333"
"400","JQ685968","6.63333333333333","11.2669111111111"
"401","MW055084","6.62222222222222","11.2872666666667"
"402","MW055085","6.62","11.2956222222222"
"403","MW055086","6.63333333333333","11.2891333333333"
"404","MW055087","6.64","11.2904888888889"
"405","AF351849","6.63333333333333","11.3085555555556"
"406","AF394876","6.62888888888889","11.3146666666667"
"407","GU644760","6.63333333333333","11.2883777777778"
"408","GU644761","6.62666666666667","11.2972888888889"
"409","GU644762","6.62666666666667","11.2817111111111"
"410","GU644763","6.62888888888889","11.2759777777778"
