acc	CpGpos1	CpGpos2	CpGbridge
JN936715	0.25	0.1331217960473727	0.116321449643263
JN936719	0.20833333333333334	0.1349865850654558	0.08398967348104566
JQ699260	0.25	0.1322881243960756	0.11942159165465373
JQ699262	0.25	0.13229115041830186	0.1194580595827219
JQ699264	0.25	0.1331181929069729	0.11694501100798681
JQ699267	0.25	0.11410617762731107	0.11287863394933027
JQ699272	0.25	0.13178686978149956	0.11899879616317463
KT221127	0.25	0.13952600421744257	0.1163755073699842
KT221136	0.28	0.13179016038943733	0.11060589028734509
KX148264	0.25	0.13810810443614047	0.11055161484564721
L04523	0.25	0.1255163918860495	0.1130977430259986
MG201898	0.25	0.1317700941490315	0.1104757928033142
MG201905	0.25	0.13178580161341868	0.10213758245102356
MG201906	0.25	0.1317694568205607	0.10207596606577272
MG201919	0.25	0.13178805481933548	0.11051232885370744
MG201921	0.25	0.12187144259801917	0.11053925889888774
AB285215	0.28	0.1137675949155618	0.1204924842890062
HQ266618	0.26086956521739124	0.09796281413546103	0.13664734832845604
HQ266620	0.26923076923076916	0.12235882157149422	0.15378818287504709
HQ266621	0.28	0.10163409050552602	0.13338392246750091
KF155002	0.2962962962962963	0.1288172005645554	0.12126030322035833
KR534217	0.2916666666666667	0.10315803349321874	0.11913819767328646
KR534219	0.2692307692307692	0.1125420320102047	0.0999114755766347
KR534228	0.2692307692307692	0.12798214865556462	0.09993385789404664
KR534229	0.31999999999999995	0.12066608822676425	0.10628163141393757
KR534230	0.26923076923076916	0.11906187502818286	0.09602152739826467
KR534233	0.29166666666666674	0.12066556825054717	0.10626982074525489
KR534238	0.2692307692307692	0.12798116856943403	0.09989857526724359
KR534244	0.29166666666666663	0.11693204870899969	0.11918844606203591
KR534250	0.2916666666666667	0.10895595918664408	0.11914228215768273
KR534251	0.2692307692307692	0.11904739987319883	0.09992437293829358
KR534252	0.27999999999999997	0.11213268909792595	0.09686830232035402
KR534253	0.29166666666666663	0.11616940632833637	0.11910952033510376
KR906734	0.2692307692307692	0.11254273733119667	0.09989857526724359
KR906735	0.2692307692307692	0.11822424837542919	0.1201958357037993
KR906736	0.2692307692307692	0.11824297671938731	0.13381959384790107
KR906739	0.32000000000000006	0.14005818767048517	0.09689596732206614
KR906741	0.2916666666666667	0.12885241124711766	0.11916444641249192
KR906742	0.2962962962962963	0.1288182929782641	0.12125067400996527
KR906744	0.2916666666666667	0.1297777675707807	0.09687314281023618
KR906745	0.29166666666666663	0.12918539334115697	0.11916531376961702
KR906746	0.28	0.10259310290061044	0.11188164701356258
KR906747	0.27999999999999997	0.10258982101794009	0.10373658897299085
KR906748	0.25	0.08777051637130268	0.1341317587986651
KR906749	0.3333333333333333	0.12234822235012953	0.12754222593013648
KR906750	0.2962962962962962	0.12881780761598038	0.12126356483034392
KR906751	0.28	0.11940436608867538	0.10693616031947654
KR906756	0.29166666666666674	0.11038307863508894	0.10626982074525489
KR906761	0.27999999999999997	0.12835615648024176	0.12012602919895224
KR906762	0.30769230769230765	0.1288251688885875	0.13012028194264125
KR906763	0.2692307692307692	0.1182254916220585	0.12018717678518212
KR906766	0.2592592592592593	0.11822583573683317	0.14030598203471265
KR906767	0.28	0.12752140462214243	0.11744067995470135
KR906768	0.2962962962962963	0.1288069925632046	0.11282180700913005
KR906769	0.28	0.11745887142192125	0.10887747576385909
KR906770	0.26923076923076916	0.11906187502818286	0.09602152739826465
KR906771	0.29166666666666674	0.11693228183771665	0.12018838464758298
KR906780	0.2916666666666667	0.11616900860766899	0.11912001814569602
KR906782	0.2916666666666667	0.11693182725401373	0.11920102198486031
KR906784	0.2692307692307692	0.11906274113362049	0.09600916124983491
