"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","clade","Accession"
"EU086182",-7.694397751279,-1.25906283489644,-1.91207609725835,-0.0732791568782758,0.696747306139548,-1.95987978575346,0.461628617301751,-1.27314013582062,-0.538199969254061,-0.131269697824554,-0.206056973046441,-0.0929017495927905,0.719601875697886,0.191778937906421,0.531854007733588,0.235854715744472,-0.768872405197644,-0.19651578927313,-0.215763776697134,-0.761624364566226,0.4704509559223,-0.0221545358956175,-0.320314597308099,0.116154179545319,-0.334308264158677,0.486128751703016,0.166712822105421,0.158489413976918,0.0723915528619165,0.0544055392984352,-0.171427492067913,-0.101668234920993,0.140900956276104,-0.0364428079529618,0.0432480314209876,-0.464803014680049,-0.118589919270799,-0.141965809280244,0.170304922755724,0.276220787832644,0.00101345858284461,-0.0763074144088708,-0.0829075744507114,0.135309309014606,0.105802367158583,-0.11296862821106,0.202021347865642,0.0912360439388138,0.142611984662242,0.0933449781625054,-0.0373323741575106,-0.033689261862122,-0.0232748125405294,-0.0148826793941077,-0.0018807943709565,-0.00833542752944623,0.0256024912259082,0.0251976112402254,"Asian SEA2a","EU086182"
"EU086183",-7.79837352383179,-1.14649918267008,-2.17051147269545,-0.667434340609356,0.946487952909393,-1.38189515775783,1.04370551364838,-1.00977736018016,-1.51899413954266,-0.47709385892476,-1.00640044485022,0.630391560854848,-0.137083303349598,-0.629744945985763,0.530753926814266,-0.992310834808189,-0.00518142551598154,-0.533719126700862,-0.543368792115967,-0.657270750626279,0.767443196108801,0.536605349739928,0.0759601920202462,0.596942704438442,-0.626867714927799,0.185560625796715,-0.758171347896614,-0.405320424924035,0.0772338666219996,0.294600515254086,-0.375081297724979,0.261606886037013,0.248277148614794,-0.214780353498602,-0.100365886907447,0.0861976603717892,-0.188070819721843,0.0203303360826727,-0.301420611396915,0.612395949533146,-0.368370135400099,0.104715544155134,0.113116660497759,0.0749197595863317,-0.0761583361617616,-0.0807775668530749,0.204645890815735,0.160931646375228,0.0859092309818708,0.211620430102429,0.204961401095087,0.0146092149726162,0.224956855115872,0.161322015399243,0.188672457625953,-0.134174575481898,-0.23304507973347,0.0257244168926998,"Asian SEA2a","EU086183"
"EU159386",-7.694397751279,-1.25906283489644,-1.91207609725835,-0.0732791568782758,0.696747306139548,-1.95987978575346,0.461628617301751,-1.27314013582062,-0.538199969254061,-0.131269697824554,-0.206056973046441,-0.0929017495927905,0.719601875697886,0.191778937906421,0.531854007733588,0.235854715744472,-0.768872405197644,-0.19651578927313,-0.215763776697134,-0.761624364566226,0.4704509559223,-0.0221545358956175,-0.320314597308099,0.116154179545319,-0.334308264158677,0.486128751703016,0.166712822105421,0.158489413976918,0.0723915528619165,0.0544055392984352,-0.171427492067913,-0.101668234920993,0.140900956276104,-0.0364428079529618,0.0432480314209876,-0.464803014680049,-0.118589919270799,-0.141965809280244,0.170304922755724,0.276220787832644,0.00101345858284461,-0.0763074144088708,-0.0829075744507114,0.135309309014606,0.105802367158583,-0.11296862821106,0.202021347865642,0.0912360439388138,0.142611984662242,0.0933449781625054,-0.0373323741575106,-0.033689261862122,-0.0232748125405294,-0.0148826793941077,-0.0018807943709565,-0.00833542752944623,0.0256024912259082,0.0251976112402254,"Asian SEA2a","EU159386"
"EU828653",-6.84411830129964,-1.35685701997193,-1.8955194291044,-0.423320602524232,-0.157826227576539,-1.15007946051985,0.289621937626191,0.641128663209836,-1.653452386336,0.211845452998091,0.246435118524499,-0.691308035011554,0.568227561208471,0.741669944149879,0.411063156551579,0.284355620907336,-0.359765478068481,-0.887498273205347,0.939518620559775,0.0544049981557144,0.0766112068164588,0.508946602248235,-0.712337474268764,-0.119163322329346,0.609392733387395,0.87679288346848,-0.0820935015652976,-0.191131608871301,0.463955250120886,0.0551666216601005,-0.240798131806075,-0.142458082823381,-0.641697850194525,0.0667409239741241,0.288344063151465,0.169706956213802,0.12079648679311,-0.271113603957888,-0.268873218289938,-0.272591612933849,0.278959906648886,0.521065075347709,-0.17486382768772,0.0243040856804549,-0.185406026784948,0.156250610303706,0.00614576172884368,-0.309135206324577,0.16329503932003,-0.096520963599961,-0.0151392223470815,-0.167612777835332,-0.0985729490036576,-0.0356873798043157,-0.00951624998952749,-0.0634129153056762,-0.00323688962333447,0.0224796032990136,"Asian SEA2a","EU828653"
"FJ561726",-7.47772586342375,-0.745612975968961,-1.32693376204544,0.295735975339188,0.760711706192481,-1.23578736425668,0.338993022729765,1.58922646322543,-1.48297493151731,0.00762649120205034,0.348252221898667,-1.31044834042694,0.097852668514085,1.37551072926611,0.516975404464932,-0.155405591920421,0.277369798775328,-0.314475767202032,0.440289430635185,0.817252809161589,0.444249538774929,0.834041015388704,0.471890420315171,-0.155424706361292,-0.170305355632375,0.0224751725232146,-0.12420176206341,-0.269949661145615,0.153690727609119,0.0611741196432942,0.201527333981578,0.430612359033186,-0.107221511923075,0.167983137437985,-0.231248911878812,0.137047016338074,0.01671709351784,-0.202379493164245,-0.0404426709365003,-0.14879646926377,-0.198979118345249,-0.00846043960025042,0.0662519954139852,-0.267491873622785,-0.151545791751119,-0.0858950186524905,-0.208661247359012,-0.140661066764487,0.120601032130071,-0.121285372251129,-0.107528806321443,0.0175657761998664,0.0168698212255262,-0.0683626870176946,0.0890301846516722,-0.00148819243506006,-0.0374701775548397,0.0614153325944802,"Asian SEA2a","FJ561726"
"FJ561727",-6.93166143838289,-0.56076620622294,-1.54220177332943,0.484539439206062,-0.102545356905323,-1.22665052167032,-0.195503846814652,0.975529215974561,-1.77235092482013,-0.282790873037906,0.24903150321443,-1.6592421768472,0.167941833681223,0.931401898061846,0.723951600581042,-0.896730836698333,-0.0440840893263658,-0.434301344564638,0.936996286832343,0.973526368980198,-0.315874925870739,0.000363612279748626,-0.360195170114406,-0.362524141324252,-0.372913669622265,0.0941978632119801,-0.329680592477364,-0.0204694665847985,0.365451001521675,-0.387692108985989,0.477649449340387,0.0239145389521685,-0.252689399335915,0.281855923030138,-0.10448361213049,0.371932355420241,-0.169079207569323,0.0414883172425177,-0.215818867115127,0.533533330439426,-0.116929798144553,-0.0355203836815449,-0.557684393311406,0.349466417567027,0.0822236235907645,0.1103128047615,0.144294003359155,0.335723078577553,-0.244932765596993,-0.183515053664513,-0.134712319540205,-0.0609104951421289,0.157358024453188,0.0223876977578211,0.0789993949288114,-0.0311842862635191,0.114393145035728,-0.138814222291834,"Asian SEA2a","FJ561727"
"FJ561728",-7.18913920469668,-0.934819246759557,-0.917971115410171,1.41066095160051,0.275827532770968,-0.939996693858881,0.744381778978246,1.95309348820301,-2.21889944859705,0.347667680470744,0.432599757656202,-2.27051012112082,-0.0347536235411658,1.23493752004164,0.433612234978879,-0.757294369787566,0.687996842038743,-1.11765364945736,0.222452098232831,1.49708789442508,0.107960013807616,-0.764895437085229,-0.218017509519436,-0.442968212839044,-0.369816878015662,-0.0327517209770501,-0.0747407096533481,0.245418899373205,-0.256823695070483,-0.367990927142654,0.660873154555896,0.812681671579263,-0.310553771440252,0.0970172764301856,-0.209745172528347,0.108539501819136,0.135491308854094,-0.129952463369503,0.138106054771737,-0.306137893314143,0.0646669965328153,-0.133434676557642,0.182135869540869,0.0472124831102813,0.116381577783619,-0.140737166737893,0.109540125850034,-0.0699305069206826,0.102737948316904,0.0612507299017156,0.037004439553336,0.0578858206537385,-0.122886209293061,0.01867940832393,0.0171392852250034,-0.0274011838656983,-0.0244876378493729,0.0332129388429141,"Asian SEA2a","FJ561728"
"FJ866829",-7.59201632587793,-0.750986953177457,-0.961076164320654,1.09258395038551,0.201362268225793,-1.21070774751161,0.965328521202436,2.32904051619398,-1.93066955959192,0.0743369494445762,-0.0247174803810523,-2.42386400083741,-0.128104028826351,1.44859651450397,0.902851344823983,-0.39121284814042,1.18983088289213,-1.08542577883933,0.0750902319022174,1.50151011538178,0.696719280333008,-0.650108656799914,0.411841711299837,-0.426209802333858,-0.492954939067444,-0.0849705210125584,-0.284232878619632,0.10292508422956,0.0976342385304732,-0.275825776738145,0.694886324805053,1.05153323734869,-0.0646577955045181,-0.167420383719111,-0.0148335528501137,0.349269524663455,-0.147631194982935,-0.105551271318524,0.12422388986181,-0.178667917456532,0.211972538149095,-0.0610850500001569,0.218876729677536,-0.196258685972772,0.222833549072129,-0.302442939719694,-0.350643797127256,0.0176952064499125,0.199051057464357,0.0686670890370043,0.096692632943911,-0.175410292852473,0.198176567997676,-0.0389974907560903,-0.0930187266536523,-0.0816493718603377,-0.00365871424988695,0.0597833712789691,"Asian SEA2a","FJ866829"
"FJ866830",-7.82951049862903,-0.0258609398191834,-0.441754945170349,1.2484617685802,0.845844634898184,-1.41479753460993,0.613658153856786,2.16189447311461,-1.51089185135333,-0.166730596923357,0.244283976161921,-2.24693820845876,-0.381872873798958,1.65524918997725,1.08045216151908,-0.11666798407516,0.601540723096009,-0.186469344636913,0.917638342434068,1.23888459354148,0.594998617402067,0.035637813848666,1.13307399553956,-0.305692080649431,-0.156168689561983,0.211941209374222,-0.828701913196804,0.19540151828953,0.743545276841595,-0.491220420064816,0.926353284041346,0.87096489669713,-0.0593127548073772,-0.110319281793225,-0.205317767354848,0.446824838760643,-0.304720937798532,0.286828630403017,-0.131720633737999,0.289116074416858,0.153492709571742,-0.357007893913309,-0.36490387993261,-0.200378925770059,-0.04359670816938,-0.00444346684870878,-0.155118279023997,0.189647512799109,-0.0922471932373945,-0.179367834681983,-0.264202102204909,-0.22027269618367,0.262528524327999,0.090249006647358,0.0720008875956735,-0.0264779844277926,0.240227284856207,0.0244850707519122,"Asian SEA2a","FJ866830"
"FJ866831",-7.835227573708,-0.697969968302464,-0.81941938091988,0.381252532078785,1.17986135275386,-0.97595917281544,0.424813945190811,1.80762009121185,-1.41257721367136,0.0395497967956928,0.30678029398453,-1.78272991651928,-0.0601675739016243,1.65848965864632,0.716216825492838,0.274103370776089,1.07309230442493,-0.52552686763818,-0.369714963884353,1.18734459927386,0.89620770307301,0.400000633178074,0.373162065780691,-0.152121384495104,0.0592488941518739,0.0011947311878166,-0.90852169498347,-0.184838668430488,0.194492526806562,-0.0270828221589427,0.418472764382909,0.643660244254757,0.30955489023188,-0.0871262825509882,-0.319618531139678,0.106351859194347,-0.0683987742484377,-0.0589048643408853,-0.0483441466995719,-0.267983517115861,0.0525351541121871,-0.0497944067174621,0.141206512037588,-0.0693004287768492,-0.12577012816295,-0.086409772906327,-0.0214001522639216,-0.150923479314521,0.0341495709292348,-0.0836540792595919,-0.0732081706418341,0.119532063869444,-0.159503638366475,-0.0374342420852449,0.0655422012495414,-0.116076959140538,-0.0542525938885437,-0.0221711265005996,"Asian SEA2a","FJ866831"
