"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","clade","Accession"
"MN233956",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233956"
"MN233958",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233958"
"MN233960",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233960"
"MN233963",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233963"
"MN233967",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233967"
"MN233968",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233968"
"MN233969",-0.739514409316351,2.44421386901442,1.42088731910191,-0.987193983287201,0.333494632249774,-0.181566623515171,0.240852074378781,0.096375849798614,-0.549198458492559,0.594360492874814,-0.0874823893089543,0.364305280146018,0.480610356113895,0.108351805809837,-0.0935162332923697,-0.264993480597235,0.0481530961506355,0.0345736459894425,"Arctic A","MN233969"
"MN233973",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233973"
"MN233974",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233974"
"MN233975",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233975"
