"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","clade"
"KU198472",-1.53266116020417,3.44020747068732,-5.54511049489801,-0.760640206770589,1.07250650579689,-0.255850859084054,0.698549647681999,0.14679795233394,0.317239696823191,-0.869469091135633,-0.441462595670971,0.45785568538914,-0.947527378839684,-0.15895737433109,0.414906344690042,-0.212080833302574,-0.531596793413148,-0.168196982997957,0.175609921931204,0.0961619068874833,-0.0739494736916013,0.411971050286295,0.215409789768413,0.062512869949146,-0.0301892047733925,0.195622237079921,0.121216686701185,-0.0370249203002992,0.217834896318473,0.0885637460137303,-0.147763781300878,-0.0137943460235587,0.169234134816236,-0.0334920009406499,0.136497348073545,0.0530623029660925,0.00138660007255823,-0.115647872365896,-0.00695568223518587,0.0816241284748307,0.000112265178763811,5.59902187637794e-05,-0.000980867776530338,0.00226636988700704,-0.0016352679682643,-0.000468517469885377,-0.000628096095870686,-8.18049239168775e-05,1.09952967694635e-14,9.3126129331311e-16,-3.34293017550052e-16,-8.31964301440395e-16,-1.47034552923516e-16,8.15890161417538e-16,4.70954132404468e-16,7.1899026737227e-16,-3.88820519833655e-17,"Arctic A"
"KU198476",-2.36995674052618,3.54975854650122,-5.65534695594756,-0.720949497754483,0.739338308702286,-0.970272103785139,-0.571901419594195,0.0565812764268742,0.571804930425445,-0.991762469294368,-0.15003617864936,0.402247313886219,-0.417710735895709,0.200753014221405,-0.61488195210711,-0.309935917504998,-0.370908277606446,-0.194145194124355,0.314746968522617,0.0653323164789378,-0.170302701296724,0.24315317702336,-0.300128733041125,0.285716623884975,0.272538543730729,-0.308100846490331,0.063456358694338,-0.243986147055492,0.0376325608825626,0.00757116278503793,0.0725012808026503,-0.189744243239943,-0.0519816777391798,-0.0515831720179644,-0.139161151539569,0.0973536614783194,-0.179882677995189,-0.148876678312472,0.0266424337088245,0.0164153648894477,-0.000192909059993893,0.000343686867217407,0.00095071409986045,-0.000298419958684711,0.000633559387143402,-1.95822629699225e-05,-0.000181636080910505,-4.20907211910652e-06,1.08461105505295e-14,1.35626854492743e-15,-4.17559744396939e-16,-2.90730576935631e-16,4.20503059579559e-17,2.75523798650762e-16,-4.15110093059311e-16,2.15920459338996e-16,-3.53734362873159e-16,"Arctic A"
"KU198477",-1.51512868584541,3.45135546997531,-5.41853981212821,-0.659512309104223,1.57861952529354,-0.110324682555604,0.4411834428731,-0.320705790582847,-0.449223031043098,-0.49123208753131,0.24699697679681,1.06825142206911,-0.581577009726385,0.00841383213895318,0.264824851367515,-0.204889166676721,-0.753132764787937,-0.193995069240215,0.534086002761377,0.00174912039982829,0.273343792836872,0.616417500266087,-0.35217410704514,-0.69713190135325,-0.410624420861189,0.262921349880656,-0.155023079475588,-0.603755452243865,0.0507719549094456,-0.449192820080094,-0.124394895005676,0.06749968473099,-0.031533482298182,0.0320670651856495,-0.0684844066785922,-0.147228474564402,0.0166083146773261,-0.144223548151836,-0.16682290404983,0.103664239275621,-0.000112481032973707,0.000170179239516312,-0.000865471294539233,-0.000474916430332144,0.000591697133455051,8.72257817756805e-05,1.01543633571429e-05,-0.000130660327686385,1.07732521645385e-14,7.64727839619336e-16,-4.45315320012568e-16,-5.26652969668477e-16,-9.15234016922582e-17,1.49756346642444e-16,-6.94780043451946e-16,3.85923359984723e-16,-9.43932032146233e-17,"Arctic A"
"KU198478",-1.54097302699681,2.93355677457423,-4.71802677850658,-1.845206790305,0.573796283151183,-0.346767883085736,-0.0563184459604352,-0.526266060040278,-0.311998435277562,0.195810452876122,-0.107523092450231,-0.32332205213974,0.626849371914334,0.196906517932495,-0.0604923540016463,0.0155624134148299,-0.0731095254944902,-0.287245380883527,-0.683322569444606,-0.108470326693162,-0.621903479731664,-0.468443277717032,0.0874114353982938,-0.586156757578957,0.647026354903737,-0.318409746199176,0.0731470936155593,0.409502545796853,0.0160869702800096,-0.0172663830204667,0.475966323382662,0.0167862801694072,0.0541778179980132,-0.0523684723012883,0.101647071288894,-0.123695673978047,0.406743015081272,-0.118521278911665,-0.217105776004136,-0.165482338001393,-0.000145857313675833,-0.000702428614417564,0.00108622910804221,0.000667708557799288,-0.000457828663796468,0.000366695552690332,0.000433234757416742,-0.000403165507096297,1.12566168064491e-14,1.62982059831003e-15,4.14516215214939e-17,-1.5147054839193e-16,-1.5846598520067e-16,4.28710168237812e-16,-3.34696041055613e-16,3.58364556594475e-16,-4.7272314535707e-16,"Arctic A"
"KX036361",-2.03242772422367,3.6179422369592,-5.34620507917724,-1.37794858561068,0.606184853626738,-0.211194689260779,-0.642660837675437,-0.10830957442536,0.158208016886438,-0.0721337655477527,0.328130104932429,-0.101676673091407,0.164956382091513,0.136752933622139,0.250902694321138,0.170711838302181,0.167442107228834,-0.20722346389735,-0.337734231142437,0.476191031205953,-0.13853969070863,-0.434796436586396,-0.00645849271701939,-0.265758332158002,0.140867862581761,-0.250880166042713,-0.268536413134896,-0.0492763275724606,-0.151383179649777,0.121723926705751,0.161228767551338,-0.11744755314191,0.0947442113128463,0.116463793817214,0.478255241701008,-0.333064547621898,-0.0799320895818428,-0.0822189651835328,-0.023634064746413,-0.112951636843875,-0.000541274709446626,-0.000602262035615149,0.00144108375917558,0.00124167961366596,-0.000770933165684561,0.000429847179318036,-0.000680068830937846,-0.00013555285278292,1.115615899233e-14,1.41836563181052e-15,-1.70654657263949e-16,-3.25133662462346e-16,-9.31882528159833e-17,3.19786872971613e-16,-1.3492241543474e-16,2.92208943117125e-16,-5.14909540088353e-16,"Arctic A"
"KX036362",-1.99773590872377,3.65807474860553,-5.37119490135557,-1.2668407869497,0.623283464556998,-0.291170891528678,-0.650520314722424,-0.0856943419093154,0.184274899199739,0.0659992246727951,0.275195209959377,-0.199033719022681,0.220304231092946,-0.0795319073706124,0.303597873280424,0.142489427145921,0.0427284539991993,-0.102164546976654,-0.244147412080794,0.396331987505875,-0.214769537008773,-0.323180687625245,0.0324157148692926,-0.158031337174985,0.161993529786453,-0.158705120488972,-0.198054811670052,-0.0481936434261484,-0.140134645643227,0.196144298556516,0.00813521996213964,0.0828631586585588,-0.0164985581668066,0.212674295616442,0.059419136843118,-0.276396639248188,-0.0601948468183126,0.0697970381361459,0.0234440245100445,0.00687741447576402,1.95593598008154e-06,-0.000242992772318728,0.00135443789293733,-0.000193313269337509,-7.36094352983159e-06,0.000725295416535674,-0.000452555206031596,-2.9314475203624e-05,1.115615899233e-14,1.19632102688549e-15,-5.9632354801433e-17,-2.69622511231088e-16,-3.76771015847255e-17,4.30809175434129e-16,-4.67989322822287e-16,2.92208943117125e-16,-6.25931842550869e-16,"Arctic A"
"KX036364",-1.86908407922889,3.14132626370458,-5.42835525824709,-1.20131032138354,0.170395652382226,0.290603907073133,-0.797773565108682,-0.274238017111485,0.318665845196083,-0.202465706989687,0.241607552216296,-0.169599024310643,0.31386042901779,-0.787013226598034,0.640445558848441,0.494971888549452,-0.0841323538351562,0.474844956201649,-0.563669163300365,0.903232443679127,-0.450103449081334,-1.13815417864177,-0.112297315933415,-0.0519013299554403,0.461521865235965,0.373541490303803,-0.251337800469297,-0.103687746923581,-0.161084043120582,-0.124301083766667,0.407642120656774,0.324482178359515,-0.0894540909853356,0.219731481473871,0.0975129651289717,-0.125044695709515,-0.193937518535031,-0.0490656960918144,-0.053789725082714,0.0317118271033594,0.000127055058370359,-0.000514127447086753,-0.00205201427810224,-0.000635184781108896,8.18321858908245e-05,0.000763895457798015,-0.000884047994806563,-7.92842005861111e-05,1.09896255386363e-14,1.41836563181052e-15,1.0690109889234e-16,-1.16966845345129e-16,-6.54326772003544e-17,3.75298024202871e-16,-5.79011625284802e-16,-3.18413720426718e-16,-9.58998749938416e-16,"Arctic A"
"KX036365",-1.9916870396039,3.68361569067556,-5.16214033533465,-1.44257894932404,-0.316189691252784,0.326346782207504,-0.605004041832315,-0.403519010871174,-0.190546195360227,0.712941730695919,0.779320203194266,-0.0166435492316881,-0.398820214470348,-0.68036143847909,0.157059084184868,0.39580134163393,0.595945383467002,0.73629281710855,-0.00817144001965677,0.325331148864705,-0.509683699099536,-1.35883885834377,-0.201867334910569,-0.117534059023219,0.427195473328199,0.147558079280155,-0.14022728768762,-0.152414688939855,-0.157952331258309,0.282555300066259,0.115546366293143,0.127913149665333,0.420116899925349,0.0547003754202473,-0.0704268077160582,0.0831735672256605,0.0908644940529945,-0.0839041308600249,-0.141941897561015,0.108120993642737,-0.000158633336242578,-0.000126387410610864,0.0014345200206278,-0.000310040065475984,0.000730885680090017,-0.000784561777858135,-0.000685638218237855,3.8184309831426e-05,1.14337147484863e-14,1.19632102688549e-15,2.36343720454537e-17,-6.14556941138711e-17,2.67634230187193e-16,4.86320326665387e-16,-4.67989322822287e-16,-3.18413720426718e-16,-6.25931842550869e-16,"Arctic A"
"KX036366",-1.67555135980642,3.51812789587872,-5.07696055808012,-0.98722301261167,1.03753583857599,-0.200901378514826,-1.01422560139186,-0.5387306531159,-0.365965835826662,0.28871413151519,0.722359603452947,0.137117792193769,0.476363142782004,0.0072923562248061,0.397910400126606,0.0408181714964326,-0.578792490885201,-0.0580458463564128,-0.203877631909465,0.282232011654775,0.203104646413192,0.370875155933222,-0.494538049597356,-0.800746848633545,-0.284607055220747,-0.132625713796335,-0.179274208810301,-0.899469320981143,-0.395975624774463,-0.379099324142663,-0.00021710054436182,0.272453511829813,-0.238211013228184,-0.00335838521983317,0.175806044288523,-0.172857573139384,-0.205134591793293,0.0359053513265981,-0.329394284655168,0.347016172027963,-0.000765549910528069,4.59731074702563e-05,0.00190732018218227,-1.803692464356e-05,0.00025265523829077,-0.000404963990190113,-0.000187509281372793,-0.000191137871224897,1.07911409540251e-14,6.88239125079437e-16,-2.921924721124e-16,-3.08246511949887e-16,-2.43619481622847e-17,2.26892099216167e-16,-6.56195426777178e-16,1.52143937854053e-16,-3.31953314460225e-16,"Arctic A"
"KX954123",-1.28141281906127,3.57777497308718,-4.00818140702349,-0.966858566833694,0.151471490413277,-0.796983341986764,-0.366848891884199,2.29317888289912,-1.24826493403009,1.82354659599401,-1.06752602648876,-1.14081919188148,2.08521729889051,-0.367887065643628,-0.824178778438484,0.615466348460872,0.174552758426301,1.25022173266078,-0.105133956851417,-0.420658289618376,-0.482901170848356,0.022766664648754,-0.430479743534855,-0.206788558166978,-1.15944765127198,-0.10116063309448,0.710410021510318,-0.464604458335394,0.517955758393944,0.693233765326674,-0.32155960843815,-0.0611534486190854,-0.292258033712991,0.124353366211866,0.111517760418991,0.356495010387387,0.0827255189174834,-0.472269472856742,-0.0132256216243877,-0.143811929959623,-5.84379810977818e-05,-0.000479347915626418,-0.000664319120334099,0.000775669630197121,-0.000349001600699711,-0.00065051255410942,-0.000147342604828044,0.0010448047949728,1.06331994645513e-14,-4.66047123863796e-16,-1.34539279523154e-15,-1.58746842804812e-16,2.63821018871427e-16,-2.23664742943957e-16,-4.837998011038e-16,-4.90833452381753e-16,-6.51205653456233e-16,"Arctic A"
