acc	CpGpos1	CpGpos2	CpGbridge
JN974842	0.5267097805488498	0.524992761604165	0.5161858001956513
JN974845	0.5276981594649649	0.523467063309447	0.5154128439606589
JN974854	0.533423013185866	0.6808302436636771	0.5301379546171443
JN974870	0.4790339738931639	0.6790312786707471	0.5346592529585075
JN974871	0.533518601851754	0.6869571648322981	0.5710970123505061
JN974872	0.5325296454123587	0.6804945052128484	0.5304199060377522
JN974873	0.6345456737493347	0.6839167901394371	0.5291699002077005
JQ970480	0.5271369777228092	0.5218681665264927	0.5153806078046287
KT221107	0.5293560676285057	0.5284857518819783	0.5562412576629564
KT894558	0.5259041889761047	0.5381298988023187	0.5113985825320446
KT894572	0.5266117787989475	0.5472679894775997	0.5669348415753211
KT894573	0.5327116625004698	0.5092199219576218	0.501054971223499
KT894577	0.5285734431037314	0.6037683977732328	0.4927600082239259
KT894578	0.5278055471550438	0.6037100404740826	0.49107247394918646
KX148264	0.5257702755705341	0.48818767155772125	0.6207884628692354
KY451767	0.5261134676564156	0.5516211117417059	0.5131392682765903
MG201879	0.5268419234047685	0.5755573531016165	0.5286854213990334
MG201880	0.5284065284430954	0.509398222984745	0.5309468147282294
MG201884	0.526531177458794	0.544140205547443	0.489661599394257
MG201919	0.5252194734573911	0.5424210105670814	0.5272231251451128
MG201921	0.527636567266614	0.44879444731388274	0.5617407472822824
FJ598135	0.5353330270815544	0.4846322744360205	0.5688676690844484
FJ712195	0.5277304432009972	0.3603617205481767	0.6067389739850827
FJ712196	0.5325738453342892	0.4096591460057493	0.5752565443824696
GU647092	0.5341001308471025	0.48777598459087423	0.5619860506732457
KF726852	0.5259784825548839	0.440783055501777	0.5726123800972539
KP319184	0.5259784825548839	0.440783055501777	0.5726123800972539
KP319185	0.5319287544294774	0.48618650580513806	0.5580623365424955
KP319186	0.5298306500851572	0.47850960522542385	0.5796669726739122
KP319187	0.5320075276686631	0.4502663326987546	0.5633245814613171
KP319188	0.5290422486026458	0.47846577113553695	0.5776469913267698
KP319189	0.5320075276686631	0.4502663326987546	0.5633245814613171
KP319190	0.5349119764469616	0.4878226239161401	0.5639646977274251
KP319191	0.5346688246707664	0.48928520568492156	0.5619935641454473
KP319192	0.5341001308471025	0.48777598459087423	0.5619860506732457
KP319193	0.5320911295237354	0.44652281942780586	0.5609130928957725
KP319194	0.5269557389420744	0.443359872831595	0.5717822573464053
KP319195	0.5261881254494705	0.4433209460432691	0.5745679169933808
KP319196	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319197	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319198	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319199	0.5076696629642352	0.47830380282390356	0.5586022601882733
KP319200	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319201	0.5084329244352515	0.4783507751548691	0.5207277887038546
KP319202	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319203	0.5291818180706254	0.4449684708439173	0.5396096538533887
KP319204	0.530278036640709	0.44388258537691705	0.555097406194116
KP319205	0.5302579633335137	0.4996335335721614	0.5611204393648748
KP319206	0.5323112224962946	0.44531950553887345	0.5242129032888316
KP319207	0.5317413140052714	0.4816150762428677	0.5242061185290268
KP319208	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319209	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319210	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319211	0.530504068175744	0.4464356695525926	0.5800882041827315
KP319212	0.530278036640709	0.44388258537691705	0.555097406194116
KP319213	0.530504068175744	0.4464356695525926	0.5800882041827315
AB519642	0.4488801706198881	0.43065095043790297	0.5206025246432388
AF070449	0.4461580575401714	0.5239854244591555	0.4393270256644742
AF351847	0.47006863761900874	0.5180234894380866	0.5994648070555356
AF351852	0.4496130765242523	0.5572495720734983	0.45072499157484663
AY854587	0.3570735004409861	0.48710706878678445	0.6147015888267345
AY854592	0.38763723807573613	0.5629085270471907	0.386305492919717
AY854594	0.38678387071330284	0.5067774760036067	0.40447849838913
AY877433	0.4213940036633568	0.55343209501929	0.4882451731218525
AY877434	0.44838789296983883	0.5241253759428252	0.44410616997902425
AY877435	0.44613277683578983	0.46504595302341306	0.4330941000527828
GU592648	0.4490638088199062	0.37395981227332714	0.48479231493759156
KF656696	0.3888758819829869	0.4024689324882495	0.38844792756135643
KF656697	0.3888758819829869	0.4024689324882495	0.38844792756135643
KF864234	0.4440031139950437	0.554378589093056	0.435162003149676
KF864322	0.5176905804820081	0.5557971085274752	0.4553460854552982
KF864397	0.46889883740956706	0.5676544483262776	0.37024232529850515
KM594040	0.4499192212266834	0.5697381054015934	0.5397567238991584
KM594041	0.5203286634500667	0.35268795891718185	0.3691219309196837
KM594042	0.4472224033737664	0.5678333749154183	0.5007687873234151
KP202393	0.4644523962096166	0.4659780907889071	0.433705546962055
KT023101	0.5429091382655038	0.35251709130211784	0.44632837153612764
KU523255	0.5429091382655038	0.35251709130211784	0.44632837153612764
MN968374	0.38229610841816153	0.4720814967839551	0.47418628424122417
MN968375	0.3817113396094015	0.47205112687012585	0.4723394102101375
MN968376	0.3817113396094015	0.47205112687012585	0.4723394102101375
MN968377	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968378	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968379	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968380	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968381	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968382	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968383	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968384	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968385	0.38252482520605374	0.47080550528075815	0.4737469820822308
MN968386	0.38193924534485435	0.4707754516219196	0.4719016174561624
MN968387	0.3817113396094015	0.47205112687012585	0.4723394102101375
MT891038	0.4710701289656988	0.5387392324626599	0.45354736866363
MW249020	0.4457288750060693	0.5223103830714393	0.46340007642829956
MW249021	0.4710701289656988	0.5387392324626599	0.45354736866363
AB284509	0.4792854227639902	0.47356097087543136	0.6737326260245057
AB284510	0.4792854227639902	0.47356097087543136	0.6737326260245057
AB284511	0.479801818139082	0.47498252300133154	0.639340316358188
AB284512	0.48023551674592063	0.5089649131133306	0.6783993474762102
AB284513	0.4013575391600584	0.47412615798243696	0.675495982402121
AB284514	0.48023551674592063	0.5089649131133306	0.6783993474762102
AB285215	0.4792854227639902	0.47356097087543136	0.6737326260245057
EU853582	0.4603506296973425	0.4240176705564714	0.6125064223812228
EU853584	0.4806253691071056	0.46872872263640697	0.7558037344227846
EU853585	0.4806253691071056	0.46872872263640697	0.7558037344227846
EU853586	0.4811374333839032	0.4092644101090569	0.7558950351647532
EU853587	0.486207472045395	0.4683812342567892	0.6903711452357232
EU853588	0.486207472045395	0.4683812342567892	0.6903711452357232
EU853589	0.486207472045395	0.4683812342567892	0.6903711452357232
EU853590	0.5099097073920048	0.469790153533858	0.6904643912128644
HM179504	0.49029573530682186	0.5309293318545654	0.6496141741307565
HM179505	0.48302938357787234	0.5260911652423194	0.7000119058453491
HM179506	0.4209334598376164	0.4837248734216159	0.6234112988146884
KF155002	0.501885667292744	0.4238408084508974	0.6927574754976276
KR534217	0.4016114424908653	0.391840741032796	0.7326611431945123
KR534218	0.40289998145725114	0.39224783948504105	0.7045481380629838
KR534219	0.4881852998845541	0.49699510062477753	0.6631282991267093
KR534220	0.40289998145725114	0.39224783948504105	0.7045481380629838
KR534228	0.48682780231258355	0.5329532839671256	0.6633522059505258
KR534229	0.4806164136603535	0.3903313401053041	0.7328199298851134
