acc	CpGpos1	CpGpos1_low95CI	CpGpos1_high95CI	CpGpos2	CpGpos2_low95CI	CpGpos2_high95CI	CpGbridge	CpGbridge_low95CI	CpGbridge_high95CI
FJ561728	0.3043478260869566	0.37434472431202426	0.7786987539488449	0.10257075560091448	0.1247956723949741	0.27010304362066706	0.15707362807172257	0.15404502249843655	0.3174414583596047
FJ866829	0.30434782608695654	0.40485537703754193	0.78470984	0.10922236654441311	0.11805826101901218	0.27119931385872287	0.15654053448535837	0.16236080792325797	0.31966018998537943
FJ866830	0.27272727272727276	0.39941908559967165	0.772399096	0.10795625369382386	0.13123321025589446	0.2808152915805859	0.1564217128367806	0.15376944725963396	0.3254112152108303
FJ866831	0.30434782608695654	0.3749200489123513	0.7633408206528663	0.10138995940535792	0.12864964854638286	0.26676521083256877	0.14360422343606755	0.1618000557486649	0.32026749222320966
GQ472468	0.2916666666666667	0.3705931511826785	0.7777401821506547	0.1057207551129631	0.12218957994146849	0.2619728223586941	0.12491601429650386	0.1548386077087069	0.31893533353854864
GQ472470	0.30434782608695654	0.3691892168131964	0.7760281744911522	0.10108398408477544	0.12726593183512436	0.269600895	0.12720870635324563	0.14790288096529014	0.3298658738141007
GQ472473	0.3043478260869565	0.3292948562502678	0.8237486220106023	0.098350445	0.11685958627508412	0.25892114618199896	0.12697325537935086	0.16481226678482452	0.3019661818150866
GQ472477	0.3181818181818182	0.36741495817745917	0.8125850418225405	0.10571757967009335	0.12043472177390009	0.2646833765059895	0.12703251777212138	0.1632707431522631	0.3184118227358512
GU358653	0.30434782608695654	0.39397022714114716	0.7999428163371132	0.095136785	0.12508897262974603	0.25754831533102873	0.1450104568509511	0.17626531351830965	0.3084485608409281
HM486355	0.30434782608695654	0.36439031050926574	0.7547401242733432	0.13506959623148163	0.11460005857924527	0.2774933783477147	0.12233933083285171	0.15317811329028452	0.30128839539388635
HM486356	0.30434782608695654	0.36213159999330513	0.7822162260936519	0.13604411244490958	0.13770029843954756	0.2590110682192524	0.1222556447068414	0.15027037634548907	0.29881722105526787
